## 2016 Plant Transmission Exp. Videos,,,,,,,,
### Data Entry by: Elizabeth,,,,,,,,
### Samantha Alger & Alex Burnham,,,,,,,,
"### VideoFileName is the file name of the video; PlantSpp is the plant species in the video. Possible values are: BFT, WC, RC, or diversity;",,,,,,,,
"### Experiment possible values are: acute, comingle, diversity, chronic, BeeSpp possible values are BB, HB, or comingle;",,,,,,,,
"### TimeStart is the time stamp for when a bee lands on a flower; TimeEnd is when that bee leaves a flower, TimeForage calculates the total amount of time the bees spent on a flower; Forage is the number of seconds the forager spent on a flower in seconds",,,,,,,,
"### expID is the combined ID of the plant spp. and the experiment and is used to merge data with virus dataframe, chronic 1,2,3 represent for the first, second, and third days of the chronic experiment",,,,,,,,
"### that took place on 8/27, 8/28, and 8/29, NOTE that plants were collected the day after the video was filmed",,,,,,,,
,,,,,,,,
VideoFileName,PlantSpp,Experiment,BeeSpp,TimeStart,TimeEnd,TimeForage,Forage,expID
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:18,0:12:31,0:00:13,13,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:30,0:12:34,0:00:04,4,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:32,0:12:52,0:00:20,20,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:41,0:12:48,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:47,0:12:52,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:53,0:12:57,0:00:04,4,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:57,0:13:10,0:00:13,13,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:12:57,0:13:03,0:00:06,6,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:00,0:13:03,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:05,0:13:14,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:15,0:13:18,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:16,0:13:21,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:19,0:13:28,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:25,0:13:31,0:00:06,6,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:33,0:13:36,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:33,0:13:43,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:44,0:13:47,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:48,0:13:49,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:50,0:13:57,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:54,0:14:03,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:13:56,0:14:08,0:00:12,12,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:01,0:14:03,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:06,0:14:11,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:09,0:14:15,0:00:06,6,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:15,0:14:27,0:00:12,12,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:17,0:14:19,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:27,0:14:30,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:28,0:14:29,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:31,0:14:39,0:00:08,8,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:39,0:14:46,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:48,0:14:56,0:00:08,8,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:14:59,0:15:00,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:01,0:15:04,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:00,0:15:10,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:08,0:15:11,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:10,0:15:13,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:15,0:15:17,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:20,0:15:23,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:26,0:15:29,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:29,0:15:31,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:38,0:15:48,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:40,0:15:53,0:00:13,13,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:15:54,0:15:56,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:00,0:16:05,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:06,0:16:14,0:00:08,8,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:09,0:16:13,0:00:04,4,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:14,0:16:23,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:16,0:16:31,0:00:15,15,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:34,0:17:02,0:00:28,28,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:36,0:16:42,0:00:06,6,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:37,0:16:39,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:16:47,0:17:15,0:00:28,28,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:17:03,0:17:52,0:00:49,49,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:17:03,0:17:21,0:00:18,18,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:17:45,0:17:47,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:17:48,0:17:49,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:17:53,0:18:08,0:00:15,15,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:18:11,0:18:23,0:00:12,12,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:18:20,0:18:25,0:00:05,5,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:18:27,0:19:03,0:00:36,36,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:18:27,0:18:37,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:18:53,0:18:56,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:18:57,0:19:18,0:00:21,21,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:19:06,0:19:08,0:00:02,2,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:19:19,0:19:58,0:00:39,39,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:19:32,0:20:00,0:00:28,28,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:19:41,0:20:00,0:00:19,19,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:00,0:20:01,0:00:01,1,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:00,0:20:10,0:00:10,10,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:05,0:20:29,0:00:24,24,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:11,0:20:20,0:00:09,9,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:20,0:20:23,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:24,0:20:27,0:00:03,3,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:28,0:20:35,0:00:07,7,WC_chronic-2
8/28_ChronicHB-1.MOD,WC,chronic-2,HB,0:20:29,0:20:34,0:00:05,5,WC_chronic-2
