"","ID","target_name","Ct_mean","norm_genome_copbee","site","apiary_near_far","sumColonies","species"
"517",210,"BQCV",25.422,2659167.533,"BOST-NEAR",1,45,"Vagans"
"520",211,"BQCV",28.273,539205.1197,"BOST-NEAR",1,45,"Vagans"
"523",212,"BQCV",29.18,230503.1351,"HOGB",0,0,"Bimaculatus"
"529",214,"BQCV",26.816,2654224.123,"BOST-NEAR",1,45,"Bimaculatus"
"535",216,"BQCV",23.391,21395437.68,"MART",1,26,"Bimaculatus"
"538",217,"BQCV",29.258,488375.5793,"BOST-NEAR",1,45,"Bimaculatus"
"541",218,"BQCV",23.723,18205752.72,"MART",1,26,"Bimaculatus"
"542",218,"DWV",32.076,85003.83065,"MART",1,26,"Bimaculatus"
"544",219,"BQCV",30.708,376353.3981,"HOGB",0,0,"Bimaculatus"
"547",220,"BQCV",29.863,452127.173,"ROCK",0,7,"Bimaculatus"
"550",221,"BQCV",21.316,22454589.79,"MART",1,26,"Bimaculatus"
"553",222,"BQCV",27.81,746827.8201,"BOST-NEAR",1,45,"Bimaculatus"
"556",223,"BQCV",29.799,337226.357,"ROCK",0,7,"Bimaculatus"
"559",224,"BQCV",32.28,31363.24735,"MART",1,26,"Bimaculatus"
"562",225,"BQCV",26.055,2622000.156,"BOST-NEAR",1,45,"Bimaculatus"
"565",226,"BQCV",22.488,35076195.67,"MART",1,26,"Bimaculatus"
"568",227,"BQCV",25.445,7563786.821,"BOST-NEAR",1,45,"Bimaculatus"
"571",228,"BQCV",28.885,2025341.706,"ROCK",0,7,"Bimaculatus"
"574",229,"BQCV",28.599,1675815.482,"HOGB",0,0,"Bimaculatus"
"575",229,"DWV",32.429,105865.0768,"HOGB",0,0,"Bimaculatus"
"577",230,"BQCV",24.968,7530893.631,"MART",1,26,"Bimaculatus"
"580",231,"BQCV",31.091,60877.2491,"HOGB",0,0,"Bimaculatus"
"583",232,"BQCV",30.535,484260.3668,"ROCK",0,7,"Bimaculatus"
"586",233,"BQCV",31.108,73503.16725,"MART",1,26,"Bimaculatus"
"592",235,"BQCV",27.851,2983484.788,"MART",1,26,"Bimaculatus"
"595",236,"BQCV",29.373,3738285.785,"MART",1,26,"Bimaculatus"
"598",237,"BQCV",31.893,32112.8839,"HOGB",0,0,"Bimaculatus"
"607",240,"BQCV",28.216,1124561.97,"HOGB",0,0,"Bimaculatus"
"610",241,"BQCV",25.037,7169471.03,"COL",0,3,"Bimaculatus"
"613",242,"BQCV",29.773,1104044.109,"SWAN",0,30,"Bimaculatus"
"616",243,"BQCV",28.923,1698380.359,"COL",0,3,"Bimaculatus"
"619",244,"BQCV",29.801,485522.92,"COL",0,3,"Bimaculatus"
"622",245,"BQCV",25.408,4512247.524,"SWAN",0,30,"Bimaculatus"
"623",245,"DWV",32.654,45288.0055,"SWAN",0,30,"Bimaculatus"
"625",246,"BQCV",23.558,32372204.54,"SAND",0,4,"Bimaculatus"
"628",247,"BQCV",22.215,98004585.51,"SAND",0,4,"Bimaculatus"
"631",248,"BQCV",27.497,2129781.156,"COL",0,3,"Bimaculatus"
"637",250,"BQCV",26.117,3014018.719,"RICE",0,17,"Bimaculatus"
"640",251,"BQCV",23.3,43147580.75,"SAND",0,4,"Bimaculatus"
"643",252,"BQCV",26.539,5341475.905,"SWAN",0,30,"Bimaculatus"
"646",253,"BQCV",26.584,3254741.915,"SAND",0,4,"Bimaculatus"
"649",254,"BQCV",23.969,14022465.08,"SWAN",0,30,"Bimaculatus"
"652",255,"BQCV",25.02,10240159.64,"RICE",0,17,"Bimaculatus"
"655",256,"BQCV",25.687,5695904.436,"COL",0,3,"Bimaculatus"
"658",257,"BQCV",24.684,4937754.984,"RICE",0,17,"Bimaculatus"
"661",258,"BQCV",24.213,11636293.3,"RICE",0,17,"Bimaculatus"
"664",259,"BQCV",26.111,1896150.66,"SWAN",0,30,"Bimaculatus"
"667",260,"BQCV",22.011,33537473.74,"SAND",0,4,"Bimaculatus"
"670",261,"BQCV",25.719,4444741.191,"SAND",0,4,"Bimaculatus"
"673",262,"BQCV",26.932,3637032.925,"SAND",0,4,"Bimaculatus"
"676",263,"BQCV",23.163,29857893.43,"RICE",0,17,"Bimaculatus"
"679",264,"BQCV",28.186,1772904.49,"COL",0,3,"Bimaculatus"
"685",266,"BQCV",25.641,4256376.969,"COL",0,3,"Bimaculatus"
"688",267,"BQCV",22.094,24156701.35,"SAND",0,4,"Bimaculatus"
"691",268,"BQCV",29.625,387254.1035,"SWAN",0,30,"Bimaculatus"
"694",269,"BQCV",25.475,3039174.802,"SWAN",0,30,"Bimaculatus"
"697",270,"BQCV",30.513,153509.5037,"RICE",0,17,"Bimaculatus"
"700",271,"BQCV",30.622,269108.5343,"SWAN",0,30,"Bimaculatus"
"703",272,"BQCV",28.816,1324746.614,"RICE",0,17,"Bimaculatus"
"706",273,"BQCV",26.557,1542749.927,"RICE",0,17,"Bimaculatus"
"712",275,"BQCV",27.043,558373.8993,"COL",0,3,"Bimaculatus"
"715",276,"BQCV",27.672,700297.5024,"SAND",0,4,"Bimaculatus"
"718",277,"BQCV",26.266,1282204.114,"SAND",0,4,"Bimaculatus"
"720",278,"BQCV",28.552,609346.5234,"COL",0,3,"Bimaculatus"
"723",279,"BQCV",28.035,866100.9742,"RICE",0,17,"Bimaculatus"
"726",280,"BQCV",21.14,79238910.72,"FERL",1,27,"Bimaculatus"
"727",280,"DWV",29.895,269500.4948,"FERL",1,27,"Bimaculatus"
"729",281,"BQCV",25.389,3481847.201,"BOST-NEAR",1,45,"Bimaculatus"
"730",281,"DWV",32.523,36690.77504,"BOST-NEAR",1,45,"Bimaculatus"
"735",283,"BQCV",23.662,12558484.5,"BOST-NEAR",1,45,"Bimaculatus"
"736",283,"DWV",32.615,39283.02225,"BOST-NEAR",1,45,"Bimaculatus"
"738",284,"BQCV",25.292,4775476.516,"FERL",1,27,"Bimaculatus"
"741",285,"BQCV",25.572,3075573.765,"ONE",1,52,"Bimaculatus"
"747",287,"BQCV",24.743,9863941.947,"ONE",1,52,"Bimaculatus"
"750",288,"BQCV",28.358,3973640.7,"ONE",1,52,"Bimaculatus"
"753",289,"BQCV",19.329,105862796.6,"FERL",1,27,"Bimaculatus"
"754",289,"DWV",31.083,57512.73901,"FERL",1,27,"Bimaculatus"
"756",290,"BQCV",21.885,16024685.86,"FERL",1,27,"Bimaculatus"
"765",293,"BQCV",31.871,14827.13739,"TIRE",0,0,"Bimaculatus"
"768",294,"BQCV",24.538,2613931.965,"ONE",1,52,"Bimaculatus"
"771",295,"BQCV",22.515,11863612.67,"FERL",1,27,"Bimaculatus"
"772",295,"DWV",31.141,46100.24031,"FERL",1,27,"Bimaculatus"
"774",296,"BQCV",31.969,67688.95979,"TIRE",0,0,"Bimaculatus"
"777",297,"BQCV",24.295,8243302.722,"BOST-NEAR",1,45,"Bimaculatus"
"780",298,"BQCV",20.579,43106609.66,"BOST-NEAR",1,45,"Bimaculatus"
"781",298,"DWV",32.505,19648.35267,"BOST-NEAR",1,45,"Bimaculatus"
"783",299,"BQCV",22.789,7880884.629,"BOST-NEAR",1,45,"Bimaculatus"
"784",299,"DWV",32.604,13881.22979,"BOST-NEAR",1,45,"Bimaculatus"
"786",300,"BQCV",27.395,2538554.443,"FERL",1,27,"Bimaculatus"
"789",301,"BQCV",23.423,36424386.49,"FERL",1,27,"Bimaculatus"
"795",303,"BQCV",28.788,661407.0955,"FERL",1,27,"Bimaculatus"
"801",305,"BQCV",28.617,270702.7834,"TIRE",0,0,"Vagans"
"804",306,"BQCV",31.309,301582.1397,"TIRE",0,0,"Bimaculatus"
"810",308,"BQCV",27.85,558544.7101,"BOST-NEAR",1,45,"Bimaculatus"
"813",309,"BQCV",27.321,509419.7245,"COL",0,3,"Bimaculatus"
"816",310,"BQCV",26.361,4240564.089,"FERL",1,27,"Bimaculatus"
"819",311,"BQCV",22.406,10896246.42,"FERL",1,27,"Bimaculatus"
"825",313,"BQCV",30.799,63326.93923,"CLERK",0,0,"Bimaculatus"
"828",314,"BQCV",27.347,409499.4201,"MUDGE",0,0,"Bimaculatus"
