ID,Date,Site,Morpho species,plant,Time,Bee,
162,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
163,7/27/15,ROCK,small bombus,Trifolium pratense,9:40 AM,bombus,
164,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,bombus,
165,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,bombus,
166,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,bombus,
167,7/27/15,ROCK,small bombus,Trifolium repens,9:40 AM,bombus,
168,7/27/15,ROCK,small orange bombus,Trifolium repens,9:40 AM,bombus,
169,7/27/15,ROCK,small orange bombus,Trifolium repens,9:40 AM,bombus,
170,7/27/15,ROCK,small orange bombus,Trifolium repens,9:40 AM,bombus,
171,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,apis,
172,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,apis,
173,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,apis,
174,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,apis,
175,7/27/15,ROCK,apis,Trifolium repens,9:40 AM,apis,
176,7/29/15,CIND,big bombus ,Trifolium repens,6:25 PM,bombus,
177,7/29/15,CIND,big bombus ,Trifolium repens,6:25 PM,bombus,
178,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
179,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
180,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
181,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
182,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
183,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
184,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
185,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
186,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
187,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
188,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
189,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
190,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
191,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
192,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
193,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
194,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
195,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
196,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
197,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
198,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
199,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
200,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
201,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
202,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
203,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
204,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
205,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
206,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
207,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
208,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
209,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
210,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
211,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
212,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
213,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
214,7/29/15,CIND,small bombus,Trifolium repens,6:25 PM,bombus,
215,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
216,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
217,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
218,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
219,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
220,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
221,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
222,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
223,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
224,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
225,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
226,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
227,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
228,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
229,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
230,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
231,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
232,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
233,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
234,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
235,7/29/15,CIND,small orange bombus,Trifolium repens,6:25 PM,bombus,
236,7/29/15,CIND,apis,Trifolium repens,6:25 PM,apis,
237,7/29/15,CIND,apis,Trifolium repens,6:25 PM,apis,
238,7/29/15,CLERK,big bombus ,Trifolium pratense,3:40 PM,bombus,
239,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
240,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
241,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
242,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
243,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
244,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
245,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
246,7/29/15,CLERK,small bombus,Trifolium pratense,3:40 PM,bombus,
247,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
248,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
249,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
250,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
251,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
252,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
253,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
254,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
255,7/29/15,CLERK,small orange bombus ,Trifolium pratense,3:40 PM,bombus,
256,7/29/15,CLERK,apis,Trifolium pratense,3:40 PM,apis,
257,7/29/15,CLERK,apis,Trifolium pratense,3:40 PM,apis,
258,7/29/15,CLERK,apis,Trifolium pratense,3:40 PM,apis,
259,7/29/15,CLERK,small black,Trifolium pratense,3:40 PM,OTHER,
260,7/29/15,CLERK,small bombus,Trifolium repens,3:40 PM,bombus,
261,7/29/15,CLERK,small bombus,Trifolium repens,3:40 PM,bombus,
262,7/29/15,CLERK,small orange bombus,Trifolium repens,3:40 PM,bombus,
263,7/29/15,CLERK,small orange bombus,Trifolium repens,3:40 PM,bombus,
264,7/29/15,CLERK,small orange bombus,Trifolium repens,3:40 PM,bombus,
265,7/29/15,CLERK,small orange bombus,Trifolium repens,3:40 PM,bombus,
266,7/29/15,CLERK,small orange bombus,Trifolium repens,3:40 PM,bombus,
267,7/29/15,CLERK,small orange bombus,Trifolium repens,3:40 PM,bombus,
268,7/29/15,CLERK,apis,Trifolium repens,3:40 PM,apis,
269,7/29/15,CLERK,big bombus ,in flight,3:40 PM,bombus,
270,7/29/15,CLERK,small bombus,in flight,3:40 PM,bombus,
271,7/29/15,CLERK,small bombus,in flight,3:40 PM,bombus,
272,7/29/15,CLERK,small orange bombus,in flight,3:40 PM,bombus,
273,7/29/15,MUDGE,small bombus,Trifolium pratense,16:55,bombus,
274,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,bombus,
275,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,bombus,
276,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,bombus,
277,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,bombus,
278,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,bombus,
279,7/29/15,MUDGE,small orange bombus,Cornelia varia,16:55,bombus,
280,7/29/15,MUDGE,small orange bombus,Cornelia varia,16:55,bombus,
281,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
282,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
283,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
284,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
285,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
286,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
287,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
288,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
289,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
290,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
291,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
292,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
293,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
294,7/29/15,MUDGE,apis,Cornelia varia,16:55,apis,
295,7/29/15,MUDGE,small black,Cornelia varia,16:55,OTHER,
296,7/29/15,MUDGE,small orange bombus,Solidago ,16:55,bombus,
