,site,target_name,sample_name,Ct_mean,Ct_sd,quantity_mean,quantity_sd,run,Date_collected,ID,species,host_plant,date_processed,pollen,dil.factor,apiary_near_far,genome_copbee,ACT_genome_copbee,norm_genome_copbee,norm_genome_copbeeHB,Ct_mean_hb,HBCollected,virusBINY_PreFilter,virusBINY,HB_Abun,HBSiteBin,ShannonDIV,SimpsonDIV,FisherDIV,Density,Name,Migratory,City,SBPV_PA,SBPV_CPB,ABPV_PA,ABPV_CPB,IAPV_PA,IAPV_CPB,DWV_PA,DWV_CPB,LSV.2_PA,LSV.2_CPB,CBPV_PA,CBPV_CPB,KBV_PA,KBV_CPB,VarroaTHR_PA,Varroa100,NosemaPA,NosemaCount,Apiary_name,lat,long,elevation,town,apiaryNotes,apiary,siteNotes,sumApiaries,sumColonies
19,BOST-NEAR,BQCV,297,24.295,0.122,1134.549,92.161,58,6/18/15,BOSTN14,Bimaculatus,Vicia cracca,4/18/16,1,11.525,1,13075677.23,2229011872,8243302.722,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
24,BOST-NEAR,DWV,297,NA,NA,NA,NA,58,6/18/15,BOSTN14,Bimaculatus,Vicia cracca,4/18/16,1,11.525,1,0,2229011872,0,1407310274,17.375,1,0,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
50,BOST-NEAR,IAPV,297,NA,NA,NA,NA,58,6/18/15,BOSTN14,Bimaculatus,Vicia cracca,4/18/16,1,11.525,1,0,2229011872,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
7,BOST-NEAR,BQCV,298,20.579,0.069,13602.208,626.518,58,6/18/15,BOSTN3,Bimaculatus,Vicia cracca,4/18/16,0,7.8675,1,107015371.4,3488604490,43106609.66,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
45,BOST-NEAR,DWV,298,32.505,0.797,6.2,3.063,58,6/18/15,BOSTN3,Bimaculatus,Vicia cracca,4/18/16,0,7.8675,1,48778.5,3488604490,19648.35267,1407310274,17.375,1,1,1,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
17,BOST-NEAR,IAPV,298,NA,NA,NA,NA,58,6/18/15,BOSTN3,Bimaculatus,Vicia cracca,4/18/16,0,7.8675,1,0,3488604490,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
54,BOST-NEAR,BQCV,299,22.789,0.03,3101.546,62.154,58,6/18/15,BOSTN15,Bimaculatus,Vicia cracca,4/18/16,0,9.546,1,29607358.12,5279273065,7880884.629,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
5,BOST-NEAR,DWV,299,32.604,0.159,5.463,0.563,58,6/18/15,BOSTN15,Bimaculatus,Vicia cracca,4/18/16,0,9.546,1,52149.798,5279273065,13881.22979,1407310274,17.375,1,1,1,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
26,BOST-NEAR,IAPV,299,37.379,NA,0.67,NA,58,6/18/15,BOSTN15,Bimaculatus,Vicia cracca,4/18/16,0,9.546,1,6395.82,5279273065,0,0,NA,1,1,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
37,BOST-NEAR,BQCV,308,27.85,0.058,105.009,4.073,59,6/18/15,BOSTN21,Bimaculatus,Trifolium pratense,4/20/16,1,14.8185,1,1556075.867,3914914334,558544.7101,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
22,BOST-NEAR,DWV,308,NA,NA,NA,NA,59,6/18/15,BOSTN21,Bimaculatus,Trifolium pratense,4/20/16,1,14.8185,1,0,3914914334,0,1407310274,17.375,1,0,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
32,BOST-NEAR,IAPV,308,NA,NA,NA,NA,59,6/18/15,BOSTN21,Bimaculatus,Trifolium pratense,4/20/16,1,14.8185,1,0,3914914334,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
25,BOST-NEAR,BQCV,201,26.004,0.001,361.097,0.126,48,6/18/15,BOSTN6,Vagans,Vicia cracca,2/22/16,1,7.204,1,2601342.788,2600751340,1405556.127,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
41,BOST-NEAR,DWV,201,NA,NA,NA,NA,48,6/18/15,BOSTN6,Vagans,Vicia cracca,2/22/16,1,7.204,1,0,2600751340,0,1407310274,17.375,1,0,0,0.285714286,High,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
31,BOST-NEAR,IAPV,201,NA,NA,NA,NA,48,6/18/15,BOSTN6,Vagans,Vicia cracca,2/22/16,1,7.204,1,0,2600751340,0,0,NA,1,0,0,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,Mraz,0,Middlebury,0,0,0,0,0,0,1,2.85E+11,1,3.94E+09,1,415000,0,0,1,2.82,0,5,Bostwick,44.369755,-73.242064,55,Shelburne,Chas,Y, ,9,45
