LocationName,ColonyCount,Address1,city,lat,long
Home Stockpile Yard,134,77 Singing Cedars Road,Orwell,43.768017,-73.333725
Home Yard,1,557 Osgood Hill Road,Westford,44.556136,-73.001746
Home Yard,3,217 Champlain Street,Swanton,44.933604,-73.205269
Home Yard,3,677 Cambridge Road,Westford,44.639432,-72.966171
MartinYd,25,1871 Oakland Station Road,Georgia,44.736861,-73.086827
1,1,Unknown,Addison,44.088667,-73.302622
89 Wellman Road,3,Unknown,Wilmington,NA,NA
Home,8,602 Swamp Road,Fairfield,NA,NA
GagneYd,25,RT 7,Highgate,44.99775,-73.07874
DeckerYd,90,Decker Road,Swanton,44.88005,-73.07553
Home Yard,2,149 Trottier Road,South Royalton,43.813385,-72.500058
Home,4,83 Ainsworth Road,Woodbury,44.452052,-72.416632
Trombley Yard,11,West Street,Cornwall,43.9497,-73.2481
Summer Home,5,W. Sandgate Road,Sandgate,43.16008,-73.24033
Kitchel Yard,8,81 Walden Hill Road,Danville,NA,NA
NA,2,3453 Kittell Road,Sheldon,44.889266,-72.872237
Home,2,1380 Old Stage Road,Westford,44.605364,-73.048237
1,6,1 Rock Point Road,Burlington,44.495421,-73.237592
Home,2,429 South Willard Street,Burlington,44.468273,-73.206172
Home Yard,1,28 Tarbox Road,Jericho,44.444864,-72.990161
Home Yard,1,536 Schenkar Road,Pownal,42.789055,-73.189148
Berry Farm,0,Bostwick Road,Shelburne,44.36975,-73.24223
Home,0,5834 Hollister Road,Marshfield,44.353893,-72.396362
Degree Yd,0,Unknown,Williston,NA,NA
Home Yard,6,1372 Old Stage Road,Williston,44.458007,-73.068695
Home,10,240 Suursoo Road,Chester,43.349337,-72.636551
2,2,320 West Street,Middletown Spg,40.618454,-75.386144
Home,2,23 Center Road,Hyde Park,44.580784,-72.587113
Home Yard,11,3500 Middle Road,Franklin,44.995281,-72.86013
Home Yard,10,1719 Common Road,Waitsfield,44.167912,-72.802116
Home Yard,31,46 Lost Nation Road,Essex Junction,44.514874,-73.091086
Home Yard,2,319 Fletcher Farm Road,Hinesburg,44.319153,-73.138336
Home,0,Unknown,Hinesburg,NA,NA
RT 15-fieldXLamell Lumber,0,Unknown,Essex,44.910363,-71.843599
Home,3,262 Pomfret Road,West Hartford,43.718374,-72.421661
Home,0,3821 Calbot Road,Cabot,44.419205,-72.349152
Home,3,Unknown,Essex,44.910363,-71.843599
Buck Mountain Yd.,32,Unknown,Waltham,NA,NA
Dr. Collins,44,Unknown,Colchester,NA,NA
Knight Point,1,Unknown,North Hero,NA,NA
Center for Technology,1,10 Meadow Terrace,Essex,44.498344,-73.104851
Home Yard,1,1173 Ballard Road,Georgia,44.699917,-73.125969
Home,1,2335 Ridge Road,Kirby,44.548761,-71.930595
TitisYd,11,Guinea Road,Charlotte,44.276944,-73.199444
Brookside,18,RT 22A,Orwell,NA,NA
Home Yard,1,16 Paul Cook Road,Underhill,44.568848,-72.867088
Whaley Yard,27,Lake Road,Charlotte,44.326189,-73.2781
Charlotte Berry Farm/Route 7,17,RT 7,Charlotte,44.291992,-73.244908
Charlotte-Richmond Rd/Opp. school,0,Unknown,Charlotte,NA,NA
Home,0,322 Scholcraft Road,Fletcher,44.670416,-72.929503
Home Yard,25,"2753 RT 22A, at town line, on R. up blacktop driveway",Panton,44.12,-73.2925
Home Yard,1,Town Road 52,Ryegate,44.191174,-72.133934
Dane Yard,21,Smith Road,Orwell,43.8449,-73.28027
Home,1,1629 West Jamaica Road,Jamaica,43.070309,-72.847908
Hubbard Yard,0,Unknown,Shelburne,44.37433,-73.20358
LuneauYd,25,Kellogg Road,St. Albans Twn,44.82634,-73.12286
Whiting Yard,36,Whiting-Leicester Road,Whiting,43.861111,-73.188611
1,3,701 Munger Street,Middlebury,44.027882,-73.115913
Gov't Farm Yard,29,Unknown,Weybridge,44.032222,-73.183611
James Yard/Bittersweet Falls Road,21,Bittersweet Falls Road,Weybridge,44.033611,-73.217778
Wales Yard /Route 23/barn foundation,19,RT 23,Weybridge,44.062475,-73.236969
Red Yard,28,Unknown,Waltham,44.13404,-73.23904
Vergennes Yard/edge of town/Grn. St,18,Unknown,Vergennes,44.14788,-73.24538
Home,7,204 Haytumble Road,Shelburne,44.366535,-73.183609
Stockpile Yard,20,RT  22A,Shoreham,43.861,-73.308889
Demars Storage Yard,7,133 Professional Drive,Morristown,44.57084,-72.6
Hemingway,0,Unknown,Bridport,43.9425,-73.310556
Buttolph Yard,22,North Orwell Road,Shoreham,43.865189,-73.278366
DeFao,15,Shoreham-Whiting Road,Shoreham,43.86711,-73.23234
Blodgett Orchard,0,Unknown,Shoreham,NA,NA
Honey House,12,East Road,Benson,43.691502,-73.267704
Home,7,651 North Bridgewater Road,Bridgewater,43.588663,-72.625006
2,5,Unknown,Momtgomery,44.558803,-72.577841
Meadow Yard,32,Unknown,Shoreham,NA,NA
Choiniere Yd,31,Unknown,Bristol,NA,NA
Lafrombois Yard,27,Unknown,Middlebury,NA,NA
Home,13,Unknown,Lincoln,NA,NA
Slang Yard,16,Slang Road,Panton,44.13515,-73.3132
Panton Yard,15,Unknown,Panton,44.1584,-73.33924
Home,1,432 Fulton Road,Bradford,44.055333,-72.152066
Kenner Yard/West Road behind barn,0,Unknown,Panton,NA,NA
Home Yard,2,556 Pond Brook Lane,Wolcott,44.569529,-72.441509
Demers yard,0,Unknown,So. Burlington,NA,NA
Home,1,750 Harvey Mountain Road,Barnet,44.298084,-72.146889
Home Yard,310,690 Heatherington Road,West Pawlet,43.3403,-73.23186
