"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"193",134,"BQCV",25.025,3463050.4479336
"194",278,"BQCV",28.552,609346.523404392
"195",264,"BQCV",28.186,1772904.48956555
"196",244,"BQCV",29.801,485522.919980481
"214",132,"BQCV",30.06,122696.81335869
"225",241,"BQCV",25.037,7169471.02996532
"226",248,"BQCV",27.497,2129781.15573134
"227",129,"BQCV",30.955,39880.5339539199
"228",256,"BQCV",25.687,5695904.43638294
"230",266,"BQCV",25.641,4256376.96862952
"231",136,"BQCV",27.506,566940.173396132
"233",275,"BQCV",27.043,558373.89927843
"234",133,"BQCV",26.138,1318862.43982397
"236",119,"BQCV",30.697,68181.867775729
"238",127,"BQCV",30.72,128120.181145932
"242",310,"BQCV",26.361,4240564.08901222
"243",117,"DWV",32.864,18538.5092327186
"246",295,"DWV",31.141,46100.2403143366
"247",290,"BQCV",21.885,16024685.8567034
"249",280,"DWV",29.895,269500.494773342
"253",303,"BQCV",28.788,661407.095507401
"256",301,"BQCV",23.423,36424386.4943927
"262",280,"BQCV",21.14,79238910.723892
"267",120,"BQCV",27.712,1034186.95233313
"272",284,"BQCV",25.292,4775476.51646975
"273",311,"BQCV",22.406,10896246.4159409
"274",124,"BQCV",27.129,843449.205802349
"275",300,"BQCV",27.395,2538554.44316391
"276",125,"BQCV",27.046,1299327.74341368
"277",126,"BQCV",22.942,12311104.1640927
"280",130,"BQCV",23.039,24330355.1674086
"283",289,"BQCV",19.329,105862796.626752
"286",295,"BQCV",22.515,11863612.6653309
"289",289,"DWV",31.083,57512.7390059117
"290",126,"DWV",25.519,2352481.28420992
"301",149,"BQCV",28.836,315696.490460895
"308",347,"BQCV",23.114,28685324.8139956
"309",345,"BQCV",23.164,12024307.496982
"310",357,"BQCV",25.919,4095270.80154652
"311",359,"BQCV",28.575,1225335.54279132
"314",361,"BQCV",25.487,5646231.3071941
"318",372,"BQCV",25.007,25014447.8325406
"327",356,"BQCV",26.578,38631711.9348035
"331",364,"BQCV",30.508,4108535.92188894
"334",370,"BQCV",27.163,2150225.81008596
"335",352,"BQCV",25.249,5046450.55383304
"337",212,"BQCV",29.18,230503.135136021
"339",231,"BQCV",31.091,60877.249103198
"340",219,"BQCV",30.708,376353.39812605
"345",95,"DWV",31.544,62453.8832482263
"351",76,"BQCV",30.434,172984.919234832
"366",78,"BQCV",29.003,573358.583088632
"370",229,"BQCV",28.599,1675815.48193543
"371",237,"BQCV",31.893,32112.8838961661
"383",229,"DWV",32.429,105865.076768152
"396",240,"BQCV",28.216,1124561.96975348
"397",95,"BQCV",28.514,388707.751860715
"398",70,"DWV",25.914,4573121.24114888
"400",68,"DWV",30.587,155584.436437449
"402",87,"DWV",26.302,1986267.71495955
"405",89,"DWV",32.254,37394.7086609458
"407",67,"DWV",29.606,329394.763670669
"410",89,"BQCV",26.016,1959992.86071401
"415",47,"BQCV",30.477,33167.0685293214
"419",88,"BQCV",31.44,53972.4284985416
"420",90,"BQCV",30.816,310562.610144057
"421",70,"BQCV",28.107,975700.878454564
"427",50,"BQCV",31.941,34193.5818928517
"428",69,"BQCV",28.309,1268038.49611355
"430",87,"BQCV",25.801,2549142.30339967
"432",67,"BQCV",27.918,870688.964472823
"433",68,"BQCV",30.574,131376.909717575
"434",51,"BQCV",31.593,19836.5155875712
"442",216,"BQCV",23.391,21395437.6761986
"445",218,"DWV",32.076,85003.8306464354
