well,labID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
B8,P11,DWV,0.579,No Amp,UNKNOWN,Undetermined,-,-,1.53E+10,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,FALSE,
B9,P12,DWV,1.172,Amp,UNKNOWN,35.44,34.891,0.777,0.869,1.319,0.636,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,32,FALSE,
B10,P13,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B11,P14,DWV,0.833,No Amp,UNKNOWN,38.208,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,TRUE,
B12,P15,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
C1,P4,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C2,P5,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C3,P6,BQCV,1.288,Amp,UNKNOWN,30.93,30.697,0.329,13.379,15.823,3.457,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,27,FALSE,
C4,P7,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C5,P8,BQCV,1.245,Amp,UNKNOWN,33.189,33.189,-,2.953,2.953,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,29,FALSE,
C6,P9,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C7,P10,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C8,P11,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C9,P12,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C10,P13,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C11,P14,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
C12,P15,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D1,P4,BQCV,1.144,Amp,UNKNOWN,33.362,33.362,-,2.629,2.629,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,30,FALSE,
D2,P5,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D3,P6,BQCV,1.259,Amp,UNKNOWN,30.465,30.697,0.329,18.267,15.823,3.457,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,27,FALSE,
D4,P7,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D5,P8,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D6,P9,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D7,P10,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D8,P11,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D9,P12,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D10,P13,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D11,P14,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
D12,P15,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
E1,P16,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E2,P17,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E3,P18,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E4,P19,DWV,1.266,Amp,UNKNOWN,30.874,30.874,-,16.702,16.702,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,28,FALSE,
E5,P20,DWV,1.243,Amp,UNKNOWN,33.007,33.007,-,4.198,4.198,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
E6,P21,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E7,P22,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E8,P23,DWV,0.605,No Amp,UNKNOWN,39.948,39.948,-,0.047,0.047,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,FALSE,
E9,P24,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E10,P25,DWV,1.233,Amp,UNKNOWN,30.011,30.332,0.454,29.204,24.233,7.029,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,27,FALSE,
E11,P26,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E12,No Sample,DWV,1.175,Amp,NTC,9.041,-,-,-,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,6,FALSE,
F1,P16,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F2,P17,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F3,P18,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F4,P19,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F5,P20,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F6,P21,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F7,P22,DWV,1.11,No Amp,UNKNOWN,36.366,36.366,-,0.477,0.477,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
F8,P23,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F9,P24,DWV,0.568,No Amp,UNKNOWN,Undetermined,-,-,1.53E+10,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,FALSE,
F10,P25,DWV,1.164,Amp,UNKNOWN,30.653,30.332,0.454,19.263,24.233,7.029,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,27,FALSE,
F11,P26,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F12,Gblock,DWV,1.229,Amp,UNKNOWN,33.855,33.855,-,2.424,2.424,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
G1,P16,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G2,P17,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G3,P18,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G4,P19,BQCV,1.299,Amp,UNKNOWN,25.714,25.624,0.128,438.135,466.329,39.872,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,22,FALSE,
G5,P20,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G6,P21,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G7,P22,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G8,P23,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G9,P24,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G10,P25,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G11,P26,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
G12,No Sample,BQCV,0,No Amp,NTC,Undetermined,-,-,-,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H1,P16,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H2,P17,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H3,P18,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H4,P19,BQCV,1.295,Amp,UNKNOWN,25.533,25.624,0.128,494.522,466.329,39.872,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,22,FALSE,
H5,P20,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H6,P21,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H7,P22,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H8,P23,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H9,P24,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H10,P25,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H11,P26,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,39,TRUE,
H12,Gblock,BQCV,1.348,Amp,UNKNOWN,8.272,8.272,-,5.12E+07,5.12E+07,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.055,TRUE,3,5,FALSE,
A1,P27,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A2,P28,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A3,P29,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A4,P30,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A5,P31,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A6,P32,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A7,P33,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A8,P34,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A9,P35,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A10,P36,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A11,P37,DWV,1.261,Amp,UNKNOWN,34.394,34.394,-,1.71,1.71,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
A12,P38,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B1,P27,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B2,P28,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B3,P29,DWV,1.021,No Amp,UNKNOWN,37.274,37.274,-,0.265,0.265,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,34,FALSE,
B4,P30,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B5,P31,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B6,P32,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B7,P33,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B8,P34,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B9,P35,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B10,P36,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B11,P37,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B12,P38,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
C1,P27,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C2,P28,BQCV,1.149,Amp,UNKNOWN,32.95,32.911,0.055,3.464,3.556,0.13,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,30,FALSE,
C3,P29,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C4,P30,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C5,P31,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C6,P32,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C7,P33,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C8,P34,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C9,P35,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C10,P36,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C11,P37,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C12,P38,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D1,P27,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D2,P28,BQCV,1.131,Amp,UNKNOWN,32.873,32.911,0.055,3.648,3.556,0.13,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,30,FALSE,
D3,P29,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
D4,P30,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,2.53E+10,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,FALSE,
D5,P31,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
