well,lab_ID,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean_hb,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
E10,HB11,11,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F10,HB11,11,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E11,HB12,12,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,72
F11,HB12,12,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,72
E2,HB13,13,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,TRUE,73
F2,HB13,13,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,TRUE,73
E3,HB14,14,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,TRUE,73
F3,HB14,14,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,FALSE,73
E4,HB15,15,IAPV,1.297,Amp,UNKNOWN,32.592,32.592,NA,14.574,14.574,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,27,FALSE,73
F4,HB15,15,IAPV,0,No Amp,UNKNOWN,Undetermined,32.592,NA,3.53E+10,14.574,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,FALSE,73
E2,HB2,2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F2,HB2,2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E3,HB3,3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F3,HB3,3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,72
E4,HB4,4,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,72
F4,HB4,4,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,FALSE,72
E1,HB5,5,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,TRUE,73
F1,HB5,5,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,TRUE,73
E5,HB6,6,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F5,HB6,6,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E6,HB7,7,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F6,HB7,7,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E7,HB8,8,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F7,HB8,8,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E8,HB9,9,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
F8,HB9,9,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E12,No Sample,No Sample,IAPV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.2,TRUE,3,39,TRUE,72
E12,No Sample,No Sample,IAPV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.157,TRUE,3,39,FALSE,73
