"","sample_name","target_name","Ct_mean","norm_genome_copbee"
"585",102,"DWV",38.875,0
"586",29,"IAPV",NA,0
"587",29,"IAPV",NA,0
"588",99,"BQCV",NA,0
"589",58,"DWV",NA,0
"590",61,"IAPV",NA,0
"591",62,"DWV",37.577,0
"592",82,"IAPV",NA,0
"593",60,"IAPV",NA,0
"594",102,"IAPV",NA,0
"595",83,"IAPV",NA,0
"596",58,"IAPV",NA,0
"597",99,"IAPV",NA,0
"598",100,"IAPV",NA,0
"599",81,"BQCV",NA,0
"600",60,"BQCV",NA,0
"601",62,"BQCV",NA,0
"602",83,"DWV",NA,0
"603",82,"BQCV",34.557,0
"604",62,"IAPV",NA,0
"606",102,"BQCV",NA,0
"607",100,"BQCV",NA,0
"609",147,"DWV",NA,0
"611",340,"DWV",NA,0
"612",335,"DWV",NA,0
"613",287,"DWV",NA,0
"615",302,"BQCV",33.069,0
"616",302,"DWV",NA,0
"617",338,"DWV",NA,0
"618",145,"DWV",NA,0
"619",334,"DWV",NA,0
"621",294,"DWV",33.532,0
"622",285,"DWV",NA,0
"623",151,"DWV",36.453,0
"624",153,"IAPV",NA,0
"625",302,"IAPV",NA,0
"626",339,"DWV",NA,0
"627",150,"IAPV",NA,0
"628",151,"IAPV",NA,0
"629",140,"IAPV",37.84,0
"630",152,"IAPV",NA,0
"631",340,"IAPV",NA,0
"632",338,"IAPV",NA,0
"633",138,"IAPV",36.243,0
"634",287,"IAPV",37.382,0
"635",294,"IAPV",NA,0
"636",334,"IAPV",NA,0
"637",145,"IAPV",NA,0
"638",139,"IAPV",NA,0
"640",338,"DWV",36.776,0
"647",335,"BQCV",NA,0
"654",153,"DWV",37.292,0
"655",138,"DWV",38.89,0
"656",138,"DWV",NA,0
"657",139,"DWV",NA,0
"658",288,"DWV",NA,0
"659",153,"DWV",NA,0
"660",150,"DWV",39.037,0
"661",140,"DWV",33.795,0
"662",152,"DWV",NA,0
"663",147,"IAPV",NA,0
"664",339,"IAPV",NA,0
"665",335,"IAPV",NA,0
"666",285,"IAPV",NA,0
"667",152,"DWV",36.264,0
"670",288,"IAPV",NA,0
"671",374,"DWV",NA,0
"672",369,"DWV",NA,0
"674",360,"IAPV",NA,0
"675",371,"DWV",NA,0
"676",367,"IAPV",NA,0
"677",369,"IAPV",NA,0
"678",350,"DWV",NA,0
"679",365,"IAPV",NA,0
"681",365,"DWV",NA,0
"682",367,"DWV",NA,0
"683",346,"DWV",36.709,0
"684",360,"DWV",NA,0
"685",346,"DWV",NA,0
"686",354,"DWV",NA,0
"687",349,"IAPV",NA,0
"689",355,"DWV",NA,0
"690",371,"BQCV",33.555,0
"692",349,"DWV",NA,0
"694",350,"IAPV",NA,0
"695",374,"IAPV",NA,0
"696",346,"IAPV",NA,0
"697",355,"IAPV",NA,0
"698",354,"IAPV",NA,0
"699",371,"IAPV",NA,0
"705",42,"DWV",NA,0
"706",42,"BQCV",NA,0
"707",41,"IAPV",NA,0
"708",41,"DWV",NA,0
"709",41,"BQCV",NA,0
"710",42,"IAPV",NA,0
"711",274,"BQCV",33.505,0
"712",274,"DWV",NA,0
"715",258,"DWV",NA,0
"717",270,"DWV",NA,0
"719",93,"DWV",NA,0
"720",44,"DWV",NA,0
"721",75,"DWV",NA,0
"722",250,"DWV",NA,0
"723",73,"DWV",NA,0
"724",56,"DWV",NA,0
"725",55,"DWV",NA,0
"726",74,"DWV",NA,0
"727",91,"DWV",NA,0
"728",31,"DWV",NA,0
"729",272,"DWV",NA,0
"730",257,"DWV",33.199,0
"731",263,"IAPV",NA,0
"732",274,"IAPV",NA,0
"733",31,"IAPV",NA,0
"734",31,"IAPV",NA,0
"735",72,"IAPV",NA,0
"739",258,"IAPV",NA,0
"742",272,"IAPV",NA,0
"750",279,"DWV",NA,0
"751",92,"IAPV",NA,0
"753",273,"IAPV",NA,0
"756",56,"BQCV",NA,0
"759",72,"DWV",33.628,0
"760",255,"DWV",34.424,0
"761",94,"DWV",NA,0
"762",43,"DWV",NA,0
"763",93,"IAPV",NA,0
"764",94,"IAPV",NA,0
"765",56,"IAPV",NA,0
"766",250,"IAPV",NA,0
"767",255,"IAPV",NA,0
"768",273,"DWV",NA,0
"769",44,"IAPV",NA,0
"770",43,"IAPV",NA,0
"771",270,"IAPV",NA,0
"772",263,"DWV",NA,0
"773",257,"IAPV",NA,0
"774",57,"IAPV",NA,0
"775",73,"IAPV",NA,0
"776",91,"IAPV",NA,0
"777",279,"IAPV",NA,0
"778",75,"IAPV",NA,0
"779",74,"IAPV",34.889,0
"780",57,"DWV",NA,0
"781",55,"IAPV",NA,0
"785",199,"DWV",NA,0
"788",220,"IAPV",NA,0
"791",40,"DWV",NA,0
"792",197,"BQCV",NA,0
"794",40,"BQCV",NA,0
"798",332,"DWV",NA,0
"800",220,"DWV",NA,0
"801",376,"DWV",NA,0
"802",318,"DWV",NA,0
"803",223,"DWV",36.426,0
"804",327,"DWV",NA,0
"805",197,"DWV",NA,0
"806",185,"DWV",NA,0
"807",223,"DWV",NA,0
"808",333,"DWV",34.953,0
"809",228,"DWV",NA,0
"810",39,"DWV",36.213,0
"811",325,"DWV",34.863,0
"812",232,"DWV",NA,0
"814",332,"IAPV",NA,0
"815",320,"DWV",NA,0
"816",377,"DWV",NA,0
"817",376,"IAPV",NA,0
"818",325,"IAPV",NA,0
"819",318,"IAPV",NA,0
"820",182,"IAPV",35.886,0
"821",223,"IAPV",NA,0
"822",228,"IAPV",36.349,0
"823",197,"IAPV",38.402,0
"824",232,"IAPV",NA,0
"825",196,"IAPV",NA,0
"827",333,"IAPV",NA,0
"828",196,"DWV",NA,0
"829",377,"IAPV",NA,0
"830",185,"IAPV",37.658,0
"831",378,"IAPV",NA,0
"838",327,"IAPV",NA,0
"839",378,"DWV",NA,0
"840",199,"IAPV",NA,0
"841",40,"IAPV",NA,0
"842",228,"IAPV",NA,0
"844",320,"IAPV",NA,0
"845",39,"IAPV",NA,0
"852",207,"DWV",NA,0
"854",188,"BQCV",32.615,0
"855",260,"DWV",NA,0
"856",186,"DWV",36.008,0
"857",246,"DWV",NA,0
"858",183,"DWV",39.029,0
"859",277,"DWV",NA,0
"860",179,"DWV",37.988,0
"861",247,"DWV",39.294,0
"862",262,"DWV",NA,0
"863",195,"DWV",NA,0
"864",178,"DWV",NA,0
"865",267,"DWV",NA,0
"866",187,"DWV",36.437,0
"867",267,"IAPV",NA,0
"868",187,"IAPV",NA,0
"869",260,"IAPV",NA,0
"870",247,"IAPV",NA,0
"871",184,"IAPV",33.587,0
"872",262,"IAPV",34.281,0
"873",186,"IAPV",NA,0
"874",207,"IAPV",NA,0
"875",195,"IAPV",NA,0
"876",251,"IAPV",NA,0
"877",179,"BQCV",32.585,0
"889",277,"BQCV",NA,0
"890",184,"DWV",33.887,0
"891",246,"IAPV",NA,0
"892",178,"IAPV",NA,0
"893",188,"DWV",NA,0
"894",277,"DWV",36.259,0
"896",246,"DWV",33.634,0
"897",200,"DWV",NA,0
"898",276,"DWV",36.377,0
"899",276,"DWV",NA,0
"900",200,"IAPV",NA,0
"901",188,"IAPV",NA,0
"902",251,"DWV",NA,0
"903",261,"DWV",NA,0
"904",253,"DWV",NA,0
"905",261,"IAPV",NA,0
"906",179,"IAPV",39.252,0
"907",253,"IAPV",NA,0
"908",183,"IAPV",NA,0
"909",34,"DWV",34.677,0
"910",34,"IAPV",NA,0
"911",34,"BQCV",NA,0
"912",34,"IAPV",NA,0
"913",142,"IAPV",NA,0
"914",252,"IAPV",33.424,0
"915",245,"IAPV",34.105,0
"916",33,"IAPV",NA,0
"917",143,"IAPV",NA,0
"918",265,"BQCV",NA,0
"919",155,"IAPV",NA,0
"921",45,"BQCV",NA,0
"922",265,"IAPV",NA,0
"923",143,"DWV",NA,0
"924",259,"DWV",37.536,0
"925",142,"DWV",NA,0
"926",46,"DWV",33.879,0
"927",268,"DWV",NA,0
"928",265,"DWV",39.687,0
"929",156,"DWV",NA,0
"930",141,"DWV",NA,0
"931",143,"DWV",35.421,0
"932",269,"DWV",NA,0
"933",141,"DWV",39.136,0
"935",242,"DWV",NA,0
"936",252,"DWV",NA,0
"937",33,"DWV",NA,0
"938",242,"IAPV",NA,0
"939",45,"IAPV",NA,0
"941",271,"DWV",NA,0
"942",254,"DWV",NA,0
"943",148,"DWV",38.383,0
"944",45,"DWV",NA,0
"945",146,"DWV",35.422,0
"946",249,"DWV",NA,0
"947",155,"DWV",36.938,0
"954",33,"BQCV",NA,0
"958",146,"IAPV",NA,0
"959",143,"BQCV",33.414,0
"960",46,"IAPV",NA,0
"961",148,"IAPV",NA,0
"962",141,"IAPV",35.614,0
"963",268,"IAPV",NA,0
"964",156,"IAPV",38.954,0
"965",33,"IAPV",NA,0
"967",249,"BQCV",32.708,0
"969",249,"IAPV",NA,0
"970",259,"IAPV",34.419,0
"971",254,"IAPV",35.074,0
"972",271,"IAPV",NA,0
"974",46,"BQCV",34.739,0
"975",269,"IAPV",NA,0
"976",172,"DWV",NA,0
"977",171,"BQCV",NA,0
"978",174,"BQCV",32.64,0
"980",30,"BQCV",39.125,0
"982",307,"BQCV",33.847,0
"983",312,"BQCV",32.694,0
"985",292,"DWV",NA,0
"986",30,"DWV",34.858,0
"987",306,"DWV",NA,0
"988",307,"DWV",NA,0
"989",312,"DWV",NA,0
"990",165,"DWV",NA,0
"991",293,"DWV",NA,0
