ID,Date,site,Morpho_species,plant,Time,Notes
270,7/29/15,CLERK,small bombus,in flight,3:40 PM,
271,7/29/15,CLERK,small bombus,in flight,3:40 PM,
272,7/29/15,CLERK,small orange,in flight,3:40 PM,
273,7/29/15,MUDGE,small bombus,Trifolium pratense,16:55,
274,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,
275,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,
276,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,
277,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,
278,7/29/15,MUDGE,small bombus,Cornelia varia,16:55,
279,7/29/15,MUDGE,small orange,Cornelia varia,16:55,
280,7/29/15,MUDGE,small orange ,Cornelia varia,16:55,
281,7/29/15,MUDGE,apis,Cornelia varia,16:55,
282,7/29/15,MUDGE,apis,Cornelia varia,16:55,
283,7/29/15,MUDGE,apis,Cornelia varia,16:55,
284,7/29/15,MUDGE,apis,Cornelia varia,16:55,
285,7/29/15,MUDGE,apis,Cornelia varia,16:55,
286,7/29/15,MUDGE,apis,Cornelia varia,16:55,
287,7/29/15,MUDGE,apis,Cornelia varia,16:55,
288,7/29/15,MUDGE,apis,Cornelia varia,16:55,
289,7/29/15,MUDGE,apis,Cornelia varia,16:55,
290,7/29/15,MUDGE,apis,Cornelia varia,16:55,
291,7/29/15,MUDGE,apis,Cornelia varia,16:55,
292,7/29/15,MUDGE,apis,Cornelia varia,16:55,
293,7/29/15,MUDGE,apis,Cornelia varia,16:55,
294,7/29/15,MUDGE,apis,Cornelia varia,16:55,
295,7/29/15,MUDGE,small black,Cornelia varia,16:55,
296,7/29/15,MUDGE,small orange,Solidago ,16:55,
297,7/29/15,MUDGE,tiny black,in flight,16:55,
298,7/31/15,HOGB,big bombus ,Trifolium pratense,12:35 PM,mostly cloudy
299,7/31/15,HOGB,big bombus ,Trifolium pratense,12:35 PM,mostly cloudy
300,7/31/15,HOGB,big bombus ,Trifolium pratense,12:35 PM,mostly cloudy
301,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
302,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
303,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
304,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
305,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
306,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
307,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
308,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
309,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
310,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
311,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
312,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
313,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
314,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
315,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
316,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
317,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
318,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
319,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
320,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
321,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
322,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
323,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
324,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
325,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
326,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
327,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
328,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
329,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
330,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
331,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
332,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
333,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
334,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
335,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
336,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
337,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
338,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
339,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
340,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
341,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
342,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
343,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
344,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
345,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
346,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
347,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
348,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
349,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
350,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
351,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
352,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
353,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
354,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
355,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
356,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
357,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
358,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
359,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
360,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
361,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
362,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
363,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
364,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
365,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
366,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
367,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
368,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
369,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
370,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
371,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
372,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
373,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
374,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
375,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
376,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
377,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
378,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
379,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,mostly cloudy
380,7/31/15,HOGB,small orange,Trifolium pratense,12:35 PM,mostly cloudy
