well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
B4,K19,DWV,0,No Amp,UNKNOWN,Undetermined,33.274,,1.53E+10,3.531,,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,39,FALSE,33
B5,K20,DWV,1.325,Amp,UNKNOWN,32.983,31.995,1.396,4.264,9.788,7.812,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,29,FALSE,33
B6,K21,DWV,1.338,Amp,UNKNOWN,29.234,29.345,0.157,48.297,45.062,4.575,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,26,FALSE,33
B7,K22,DWV,1.329,Amp,UNKNOWN,31.723,31.129,0.84,9.64,15.218,7.888,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,28,FALSE,33
B8,K23,DWV,1.334,Amp,UNKNOWN,29.45,29.303,0.207,41.993,46.368,6.188,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,26,FALSE,33
B9,K24,DWV,1.346,Amp,UNKNOWN,30.877,32.626,2.475,16.672,9.201,10.566,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,27,FALSE,33
B10,K25,DWV,1.334,Amp,UNKNOWN,30.909,30.749,0.226,16.324,18.202,2.655,35.2228,0.993,-3.5567,91.05548,TRUE,0.05,TRUE,3,27,FALSE,33
C1,K16,BQCV,1.33,Amp,UNKNOWN,25.329,25.461,0.187,567.146,521.195,64.984,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
C2,K17,BQCV,1.328,Amp,UNKNOWN,27.971,28.006,0.049,96.837,94.65,3.092,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,23,FALSE,33
C3,K18,BQCV,1.314,Amp,UNKNOWN,26.217,26.09,0.179,313.066,341.992,40.907,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,22,FALSE,33
C4,K19,BQCV,1.306,Amp,UNKNOWN,25.964,25.881,0.117,370.768,392.552,30.808,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
C5,K20,BQCV,1.341,Amp,UNKNOWN,25.872,25.979,0.152,394.268,367.946,37.225,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
C6,K21,BQCV,1.317,Amp,UNKNOWN,26.039,30.862,6.821,352.705,176.631,249.007,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
C7,K22,BQCV,1.326,Amp,UNKNOWN,25.068,25.089,0.03,675.108,665.708,13.293,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,20,FALSE,33
C8,K23,BQCV,1.334,Amp,UNKNOWN,24.534,24.464,0.099,964.769,1012.253,67.153,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,20,FALSE,33
C9,K24,BQCV,1.339,Amp,UNKNOWN,25.868,25.884,0.023,395.474,391.294,5.912,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
C10,K25,BQCV,1.346,Amp,UNKNOWN,25.081,25.276,0.276,669.294,592.481,108.629,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,20,FALSE,33
D1,K16,BQCV,1.328,Amp,UNKNOWN,25.593,25.461,0.187,475.244,521.195,64.984,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
D2,K17,BQCV,1.325,Amp,UNKNOWN,28.04,28.006,0.049,92.464,94.65,3.092,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,23,FALSE,33
D3,K18,BQCV,1.316,Amp,UNKNOWN,25.963,26.09,0.179,370.917,341.992,40.907,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
D4,K19,BQCV,1.322,Amp,UNKNOWN,25.798,25.881,0.117,414.336,392.552,30.808,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
D5,K20,BQCV,1.33,Amp,UNKNOWN,26.086,25.979,0.152,341.624,367.946,37.225,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,21,FALSE,33
D6,K21,BQCV,0.647,No Amp,UNKNOWN,35.685,30.862,6.821,0.556,176.631,249.007,34.8074,0.9981,-3.4422,95.21442,TRUE,0.107,TRUE,3,24,FALSE,33
