ID,Treatment,dil.factor,well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
0.1.3,0.1,38.1,E5,I-55,DWV,1.338,Amp,UNKNOWN,33.273,33.806,0.753,3.533,2.653,1.244,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,30,FALSE,119
0.1.3,0.1,38.1,F5,I-55,DWV,1.284,Amp,UNKNOWN,34.338,33.806,0.753,1.774,2.653,1.244,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,31,FALSE,119
0.1.2,0.1,20,E2,I-56,ACTIN,1.42,Amp,UNKNOWN,15.719,15.841,0.173,656028,608378.4,67386.81,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.2,0.1,20,F2,I-56,ACTIN,1.426,Amp,UNKNOWN,15.963,15.841,0.173,560728.7,608378.4,67386.81,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.2,0.1,20,C2,I-56,BQCV,1.32,Amp,UNKNOWN,27.713,27.92,0.292,115.081,101.183,19.655,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.2,0.1,20,D2,I-56,BQCV,1.322,Amp,UNKNOWN,28.126,27.92,0.292,87.285,101.183,19.655,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.2,0.1,20,E6,I-56,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.2,0.1,20,F6,I-56,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.2,0.1,20,G6,I-56,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.1,0.1,23,E3,I-57,ACTIN,1.422,Amp,UNKNOWN,16.13,16.181,0.072,503620.47,487611.5,22640.072,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.1,0.1,23,F3,I-57,ACTIN,1.434,Amp,UNKNOWN,16.233,16.181,0.072,471602.56,487611.5,22640.072,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,11,FALSE,109
0.1.1,0.1,23,C3,I-57,BQCV,1.32,Amp,UNKNOWN,26.92,27.122,0.286,195.59,172.402,32.793,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,23,FALSE,109
0.1.1,0.1,23,D3,I-57,BQCV,1.321,Amp,UNKNOWN,27.325,27.122,0.286,149.214,172.402,32.793,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.1,0.1,23,E7,I-57,DWV,1.335,Amp,UNKNOWN,33.689,33.689,0,2.7,2.7,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,30,FALSE,119
0.1.1,0.1,23,F7,I-57,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.1,0.1,23,G7,I-57,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.053,TRUE,3,39,TRUE,119
0.1.20,0.1,23.1,E4,I-58,ACTIN,1.42,Amp,UNKNOWN,16.097,16.056,0.059,514409.62,528603.6,20073.328,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.20,0.1,23.1,F4,I-58,ACTIN,1.419,Amp,UNKNOWN,16.014,16.056,0.059,542797.6,528603.6,20073.328,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.20,0.1,23.1,C4,I-58,BQCV,1.324,Amp,UNKNOWN,27.893,28.019,0.177,101.994,94.122,11.132,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.20,0.1,23.1,D4,I-58,BQCV,1.318,Amp,UNKNOWN,28.144,28.019,0.177,86.251,94.122,11.132,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.20,0.1,23.1,A4,I-58,DWV,1.298,Amp,UNKNOWN,32.7,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,29,TRUE,109
0.1.20,0.1,23.1,B4,I-58,DWV,1.318,Amp,UNKNOWN,33.172,33.172,0,3.772,3.772,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,30,FALSE,109
0.1.19,0.1,30.7,E5,I-59,ACTIN,1.406,Amp,UNKNOWN,15.897,16.127,0.325,585116.6,510234.03,105900.02,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.19,0.1,30.7,F5,I-59,ACTIN,1.419,Amp,UNKNOWN,16.357,16.127,0.325,435351.4,510234.03,105900.02,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,11,FALSE,109
0.1.19,0.1,30.7,F10,I-59,BQCV,1.339,Amp,UNKNOWN,26.57,26.702,0.176,247.28,227.441,26.612,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,21,FALSE,119
0.1.19,0.1,30.7,G10,I-59,BQCV,1.315,Amp,UNKNOWN,26.884,26.702,0.176,200.318,227.441,26.612,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,22,FALSE,119
0.1.19,0.1,30.7,G12,I-59,BQCV,1.334,Amp,UNKNOWN,26.82,26.702,0.176,209.074,227.441,26.612,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,22,FALSE,119
0.1.19,0.1,30.7,H10,I-59,BQCV,1.329,Amp,UNKNOWN,26.535,26.702,0.176,253.093,227.441,26.612,34.8074,0.9981,-3.4422,95.21442,TRUE,0.148,TRUE,3,21,FALSE,119
0.1.19,0.1,30.7,A5,I-59,DWV,1.298,Amp,UNKNOWN,33.917,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,31,TRUE,109
0.1.19,0.1,30.7,B5,I-59,DWV,1.268,Amp,UNKNOWN,34.292,34.292,0,1.827,1.827,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,31,FALSE,109
0.1.18,0.1,22.5,E6,I-60,ACTIN,1.428,Amp,UNKNOWN,15.965,15.87,0.134,560208.8,596448.44,51250.65,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.18,0.1,22.5,F6,I-60,ACTIN,1.409,Amp,UNKNOWN,15.775,15.87,0.134,632688.1,596448.44,51250.65,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.18,0.1,22.5,C6,I-60,BQCV,1.322,Amp,UNKNOWN,27.921,27.911,0.014,100.14,100.799,0.932,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.18,0.1,22.5,D6,I-60,BQCV,1.331,Amp,UNKNOWN,27.901,27.911,0.014,101.458,100.799,0.932,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,24,FALSE,109
0.1.18,0.1,22.5,A6,I-60,DWV,1.321,Amp,UNKNOWN,33.009,32.612,0.561,4.192,5.6,1.991,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,30,FALSE,109
0.1.18,0.1,22.5,B6,I-60,DWV,1.325,Amp,UNKNOWN,32.215,32.612,0.561,7.008,5.6,1.991,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,29,FALSE,109
0.1.17,0.1,43.7,E7,I-61,ACTIN,1.408,Amp,UNKNOWN,15.41,15.45,0.056,800096.5,780110.4,28264.686,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.17,0.1,43.7,F7,I-61,ACTIN,1.41,Amp,UNKNOWN,15.49,15.45,0.056,760124.2,780110.4,28264.686,36.5667,0.9988,-3.584,90.11565,TRUE,0.239,TRUE,3,10,FALSE,109
0.1.17,0.1,43.7,C7,I-61,BQCV,1.32,Amp,UNKNOWN,26.95,26.886,0.09,191.744,200.264,12.049,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,23,FALSE,109
0.1.17,0.1,43.7,D7,I-61,BQCV,1.325,Amp,UNKNOWN,26.823,26.886,0.09,208.784,200.264,12.049,34.8074,0.9981,-3.4422,95.21442,TRUE,0.063,TRUE,3,23,FALSE,109
0.1.17,0.1,43.7,A7,I-61,DWV,0.48,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,39,TRUE,109
0.1.17,0.1,43.7,B7,I-61,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.042,TRUE,3,39,TRUE,109
0.1.13,0.1,22.8,E3,I-68,ACTIN,1.424,Amp,UNKNOWN,16.049,16.077,0.04,530781.06,521279.4,13437.423,36.5667,0.9988,-3.584,90.11565,TRUE,0.231,TRUE,3,10,FALSE,112
0.1.13,0.1,22.8,F3,I-68,ACTIN,1.422,Amp,UNKNOWN,16.105,16.077,0.04,511777.72,521279.4,13437.423,36.5667,0.9988,-3.584,90.11565,TRUE,0.231,TRUE,3,10,FALSE,112
0.1.13,0.1,22.8,C3,I-68,BQCV,1.3,Amp,UNKNOWN,29.447,29.343,0.147,36.088,38.77,3.794,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,25,FALSE,112
0.1.13,0.1,22.8,D3,I-68,BQCV,1.338,Amp,UNKNOWN,29.239,29.343,0.147,41.453,38.77,3.794,34.8074,0.9981,-3.4422,95.21442,TRUE,0.066,TRUE,3,25,FALSE,112
0.1.13,0.1,22.8,A3,I-68,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,112
0.1.13,0.1,22.8,B3,I-68,DWV,0,No Amp,UNKNOWN,Undetermined,0,0,0,0,0,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,112
1.1,1,23.4,E6,I-38,ACTIN,1.406,Amp,UNKNOWN,15.436,15.553,0.166,786817.6,731877.25,77697.41,36.5667,0.9988,-3.584,90.11565,TRUE,0.235,TRUE,3,10,FALSE,107
