"","colony","sample_name","FieldID","Treatment","dil.factor","DateExtracted","sample_name.1","BQCVload","DWVload","DWVbinary","BQCVbinary","logDWV","logBQCV","PreLogDWV","PreDWVLoad","PreLogBQCV","PreBQCVLoad"
"60",7,"I-51","1.8","1",21.6,"6/20/16","I-51",1113505.43740825,0,0,1,0,13.9230245469006,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"61",7,"I-52","1.11","1",27.4,"6/20/16","I-52",259914.884562299,NA,NA,1,NA,12.4681133367393,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"62",7,"I-79","10.8","10",13.615,"5/21/18","I-79",232629.437210077,0,0,1,0,12.3572063669549,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"63",7,"I-68","0.1.13","0.1",22.8,"6/30/17","I-68",227073.350869409,0,0,1,0,12.3330327797047,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"64",7,"I-63","1.13","1",23.3,"6/30/17","I-63",259335.855620388,NA,NA,1,NA,12.4658830964839,13.4712536876981,807859.875058322,15.6311804425861,6362363.06738221
"65",8,"I-23","C.20","C",26.3,"12/9/16","I-23",502329.107029854,NA,NA,1,NA,13.1270127662852,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"66",8,"I-35","20.18","20",20.6,"12/9/16","I-35",50995.161485187,0,0,1,0,10.8395056438776,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"67",8,"I-21","C.18","C",26.1,"12/9/16","I-21",219377.394518693,0,0,1,0,12.298553346672,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"68",8,"I-22","C.19","C",11.4,"12/9/16","I-22",722479.588294535,NA,NA,1,NA,13.4904458311954,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"69",8,"I-59","0.1.19","0.1",30.7,"6/30/17","I-59",NA,0,0,NA,0,NA,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"70",8,"I-37","20.20","20",14.3,"12/9/16","I-37",459009.176044612,NA,NA,1,NA,13.0368276588288,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"71",8,"I-61","0.1.17","0.1",43.7,"6/30/17","I-61",783768.399235865,0,0,1,0,13.571870122439,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"72",8,"I-62","1.20","1",21.8,"6/30/17","I-62",154422.85108319,0,0,1,0,11.94745638057,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
"73",8,"I-36","20.19","20",25.8,"12/9/16","I-36",296623.695645162,0,0,1,0,12.6002229676782,12.3316284823025,255931.74501726,15.0337497244691,3539671.48902413
