ID,Virus,CqMean,QuantityMean,dilFactor,Colony,caste,treatment,genome_copbee,ACT_genome_copbee,norm_genome_copbee,MeltTemp,virusBINY,LOGviralLoad,viralLoad
F63,BQCV,28.994,48.847,11.7,NA,NA,NA,571509.9,4067378874,375459.3407,79.25979614,1,5.574562913,375459.3407
F64,BQCV,29.108,45.264,12.7,NA,NA,NA,574852.8,4618992032,332554.8009,79.01067352,1,5.521863222,332554.8009
F65,BQCV,25.55,489.164,13,NA,NA,NA,6359132,5049973500,3364825.33,79.31028748,1,6.526962525,3364825.33
F66,BQCV,24.488,995.233,9.7,NA,NA,NA,9653760.1,2838317970,9088437.798,79.3097229,1,6.958489239,9088437.798
F67,BQCV,24.128,1266.249,7.1,NA,NA,NA,8990367.9,3612736736,6649590.985,79.25979614,1,6.822794933,6649590.985
F68,BQCV,27.056,178.543,15.9,NA,NA,NA,2838833.7,5246282592,1445912.645,79.26034546,1,6.160142056,1445912.645
F69,BQCV,24.631,904.152,6.2,NA,NA,NA,5605742.4,3849674860,3891014.683,79.1105423,1,6.59006287,3891014.683
F7,BQCV,24.071,1315.433,14.1,56,worker,near,18547605.3,3701467140,13389603.94,79.36117554,1,7.126767731,13389603.94
F8,BQCV,21.996,5272.28,10.7,56,worker,near,56413396,3759211740,40099526.08,79.21378326,1,7.60313924,40099526.08
F9,BQCV,25.588,476.941,10.2,56,worker,near,4864798.2,4162825020,3122701.396,79.26369476,1,6.494530457,3122701.396
F1,IAPV,NA,NA,2.6,27,worker,near,NA,892982740,NA,67.63134003,0,0,0
F10,IAPV,NA,NA,6.9,27,worker,near,NA,3079756143,NA,66.88600159,0,0,0
F11,IAPV,NA,NA,5.7,27,worker,near,NA,2202917304,NA,68.03421783,0,0,0
F12,IAPV,38.293,0.372,11.7,27,worker,near,4352.4,6374581902,1824.445439,79.61294556,0,0,0
F13,IAPV,NA,NA,8.6,27,worker,near,NA,4693273184,NA,68.13045502,0,0,0
F14,IAPV,NA,NA,22.8,27,worker,near,NA,6839222520,NA,68.13052368,0,0,0
F15,IAPV,NA,NA,6.5,45,worker,far,NA,2023223800,NA,67.83100891,0,0,0
F16,IAPV,NA,NA,5.5,27,worker,near,NA,1558132620,NA,67.48495483,0,0,0
F17,IAPV,NA,NA,11.5,45,worker,far,NA,2773153125,NA,67.28527069,0,0,0
F18,IAPV,37.928,0.471,8.7,27,worker,near,4097.7,2982139194,3671.690222,78.91191864,0,0,0
F19,IAPV,NA,NA,10.4,44,worker,near,NA,5266814488,NA,67.18141937,0,0,0
F2,IAPV,NA,NA,1.9,44,worker,near,NA,5453463.6,NA,80.46035767,0,0,0
F20,IAPV,NA,NA,10.6,32,worker,far,NA,6434327836,NA,67.88280487,0,0,0
