well,ID,labID,treatment,SamplingEvent,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run,
F8,E35,35,E,2,E35-2,ACTIN,1.424,Amp,UNKNOWN,17.946,17.955,0.013,156897.9,155951.67,1338.179,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,106,
G8,E35,35,E,2,E35-2,ACTIN,1.428,Amp,UNKNOWN,17.964,17.955,0.013,155005.44,155951.67,1338.179,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,106,
B8,E35,35,E,2,E35-2,DWV,1.321,Amp,UNKNOWN,34.294,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.121,TRUE,3,29,TRUE,106,
C8,E35,35,E,2,E35-2,DWV,0.759,No Amp,UNKNOWN,Undetermined,34.569,0.388,0.00E+00,0,0.904,35.2228,0.993,-3.5567,91.05548,TRUE,0.121,TRUE,3,35,FALSE,106,
G10,E35,35,E,3,E35-3,ACTIN,1.389,Amp,UNKNOWN,18.41,18.403,0.009,116452.96,116944.27,694.822,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
H10,E35,35,E,3,E35-3,ACTIN,1.384,Amp,UNKNOWN,18.397,18.403,0.009,117435.586,116944.27,694.822,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,13,FALSE,101,
C10,E35,35,E,3,E35-3,BQCV,1.299,Amp,UNKNOWN,15.609,15.464,0.206,377765.22,418416.94,57490.234,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,11,FALSE,101,
D10,E35,35,E,3,E35-3,BQCV,1.303,Amp,UNKNOWN,15.318,15.464,0.206,459068.7,418416.94,57490.234,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,11,FALSE,101,
A10,E35,35,E,3,E35-3,DWV,1.301,Amp,UNKNOWN,21.732,21.56,0.243,6210.584,6983.906,1093.641,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,17,FALSE,101,
B10,E35,35,E,3,E35-3,DWV,1.302,Amp,UNKNOWN,21.388,21.56,0.243,7757.227,6983.906,1093.641,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,17,FALSE,101,
E10,E35,35,E,3,E35-3,IAPV,1.113,No Amp,UNKNOWN,38.719,38.719,NA,0.283,0.283,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,33,FALSE,101,
F10,E35,35,E,3,E35-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
G10,E36,36,E,2,E36-2,ACTIN,1.396,Amp,UNKNOWN,18.544,18.609,0.092,106828.18,102547.61,6053.638,36.5667,0.9988,-3.584,90.11565,TRUE,0.192,TRUE,3,13,FALSE,96,
H10,E36,36,E,2,E36-2,ACTIN,1.391,Amp,UNKNOWN,18.674,18.609,0.092,98267.04,102547.61,6053.638,36.5667,0.9988,-3.584,90.11565,TRUE,0.192,TRUE,3,13,FALSE,96,
C10,E36,36,E,2,E36-2,BQCV,1.283,Amp,UNKNOWN,26.808,26.884,0.108,210.875,200.625,14.496,34.8074,0.9981,-3.4422,95.21442,TRUE,0.09,TRUE,3,22,FALSE,96,
D10,E36,36,E,2,E36-2,BQCV,1.29,Amp,UNKNOWN,26.961,26.884,0.108,190.375,200.625,14.496,34.8074,0.9981,-3.4422,95.21442,TRUE,0.09,TRUE,3,23,FALSE,96,
A10,E36,36,E,2,E36-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.096,TRUE,3,39,TRUE,96,
B10,E36,36,E,2,E36-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.096,TRUE,3,39,TRUE,96,
E10,E36,36,E,2,E36-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.209,TRUE,3,39,TRUE,96,
F10,E36,36,E,2,E36-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.209,TRUE,3,39,TRUE,96,
G11,E36,36,E,3,E36-3,ACTIN,1.407,Amp,UNKNOWN,17.741,17.741,0,178981.58,178972.27,13.182,36.5667,0.9988,-3.584,90.11565,TRUE,0.218,TRUE,3,12,FALSE,104,
H11,E36,36,E,3,E36-3,ACTIN,1.407,Amp,UNKNOWN,17.741,17.741,0,178962.94,178972.27,13.182,36.5667,0.9988,-3.584,90.11565,TRUE,0.218,TRUE,3,12,FALSE,104,
C11,E36,36,E,3,E36-3,BQCV,1.337,Amp,UNKNOWN,20.915,20.733,0.258,10862.609,12361.392,2119.598,34.8074,0.9981,-3.4422,95.21442,TRUE,0.109,TRUE,3,16,FALSE,104,
D11,E36,36,E,3,E36-3,BQCV,1.318,Amp,UNKNOWN,20.551,20.733,0.258,13860.174,12361.392,2119.598,34.8074,0.9981,-3.4422,95.21442,TRUE,0.109,TRUE,3,16,FALSE,104,
A11,E36,36,E,3,E36-3,DWV,1.335,Amp,UNKNOWN,24.029,23.576,0.641,1403.392,1963.878,792.647,35.2228,0.993,-3.5567,91.05548,TRUE,0.115,TRUE,3,19,FALSE,104,
B11,E36,36,E,3,E36-3,DWV,1.327,Amp,UNKNOWN,23.122,23.576,0.641,2524.364,1963.878,792.647,35.2228,0.993,-3.5567,91.05548,TRUE,0.115,TRUE,3,18,FALSE,104,
E11,E36,36,E,3,E36-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.235,TRUE,3,39,TRUE,104,
F11,E36,36,E,3,E36-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.235,TRUE,3,39,TRUE,104,
G11,E37,37,E,2,E37-2,ACTIN,1.395,Amp,UNKNOWN,17.713,17.663,0.07,182237.53,188216.84,8456.024,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,12,FALSE,101,
H11,E37,37,E,2,E37-2,ACTIN,1.387,Amp,UNKNOWN,17.614,17.663,0.07,194196.16,188216.84,8456.024,36.5667,0.9988,-3.584,90.11565,TRUE,0.196,TRUE,3,12,FALSE,101,
C11,E37,37,E,2,E37-2,BQCV,1.302,Amp,UNKNOWN,20.972,20.854,0.167,10452.817,11347.674,1265.518,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,17,FALSE,101,
D11,E37,37,E,2,E37-2,BQCV,1.294,Amp,UNKNOWN,20.736,20.854,0.167,12242.53,11347.674,1265.518,34.8074,0.9981,-3.4422,95.21442,TRUE,0.088,TRUE,3,17,FALSE,101,
A11,E37,37,E,2,E37-2,DWV,1.288,Amp,UNKNOWN,31.97,32.047,0.109,8.213,7.823,0.551,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,28,FALSE,101,
B11,E37,37,E,2,E37-2,DWV,1.263,Amp,UNKNOWN,32.124,32.047,0.109,7.433,7.823,0.551,35.2228,0.993,-3.5567,91.05548,TRUE,0.089,TRUE,3,27,FALSE,101,
E11,E37,37,E,2,E37-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
F11,E37,37,E,2,E37-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.193,TRUE,3,39,TRUE,101,
G1,E37,37,E,3,E37-3,ACTIN,1.392,Amp,UNKNOWN,19.139,19.126,0.018,72894.516,73491.58,844.373,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,14,FALSE,102,
H1,E37,37,E,3,E37-3,ACTIN,1.395,Amp,UNKNOWN,19.114,19.126,0.018,74088.64,73491.58,844.373,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,14,FALSE,102,
C1,E37,37,E,3,E37-3,BQCV,1.306,Amp,UNKNOWN,19.61,19.452,0.223,26006.715,29064.395,4324.212,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,15,FALSE,102,
D1,E37,37,E,3,E37-3,BQCV,1.3,Amp,UNKNOWN,19.294,19.452,0.223,32122.074,29064.395,4324.212,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,15,FALSE,102,
A1,E37,37,E,3,E37-3,DWV,1.293,Amp,UNKNOWN,28.708,28.688,0.027,67.891,68.754,1.22,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,24,FALSE,102,
B1,E37,37,E,3,E37-3,DWV,1.289,Amp,UNKNOWN,28.669,28.688,0.027,69.617,68.754,1.22,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,24,FALSE,102,
E1,E37,37,E,3,E37-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
F1,E37,37,E,3,E37-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
G11,E38,38,E,2,E38-2,ACTIN,1.391,Amp,UNKNOWN,18.625,18.691,0.094,101430.13,97272.14,5880.279,36.5667,0.9988,-3.584,90.11565,TRUE,0.192,TRUE,3,13,FALSE,96,
H11,E38,38,E,2,E38-2,ACTIN,1.396,Amp,UNKNOWN,18.758,18.691,0.094,93114.16,97272.14,5880.279,36.5667,0.9988,-3.584,90.11565,TRUE,0.192,TRUE,3,13,FALSE,96,
C11,E38,38,E,2,E38-2,BQCV,1.277,Amp,UNKNOWN,28.088,28.32,0.328,89.541,77.607,16.877,34.8074,0.9981,-3.4422,95.21442,TRUE,0.09,TRUE,3,24,FALSE,96,
D11,E38,38,E,2,E38-2,BQCV,1.277,Amp,UNKNOWN,28.552,28.32,0.328,65.673,77.607,16.877,34.8074,0.9981,-3.4422,95.21442,TRUE,0.09,TRUE,3,24,FALSE,96,
A11,E38,38,E,2,E38-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.096,TRUE,3,39,TRUE,96,
B11,E38,38,E,2,E38-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.096,TRUE,3,39,TRUE,96,
E11,E38,38,E,2,E38-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.209,TRUE,3,39,TRUE,96,
F11,E38,38,E,2,E38-2,IAPV,0.527,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.209,TRUE,3,35,TRUE,96,
G2,E38,38,E,3,E38-3,ACTIN,1.402,Amp,UNKNOWN,20.221,19.773,0.634,36367.35,50541.566,20045.367,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,15,FALSE,102,
H2,E38,38,E,3,E38-3,ACTIN,1.39,Amp,UNKNOWN,19.324,19.773,0.634,64715.78,50541.566,20045.367,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,14,FALSE,102,
C2,E38,38,E,3,E38-3,BQCV,1.322,Amp,UNKNOWN,18.856,18.236,0.878,43052.664,70904.81,39388.887,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,14,FALSE,102,
D2,E38,38,E,3,E38-3,BQCV,1.314,Amp,UNKNOWN,17.615,18.236,0.878,98756.96,70904.81,39388.887,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,13,FALSE,102,
A2,E38,38,E,3,E38-3,DWV,1.3,Amp,UNKNOWN,27.766,27.476,0.41,124.892,153.316,40.197,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,23,FALSE,102,
B2,E38,38,E,3,E38-3,DWV,1.318,Amp,UNKNOWN,27.187,27.476,0.41,181.739,153.316,40.197,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,22,FALSE,102,
E2,E38,38,E,3,E38-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
F2,E38,38,E,3,E38-3,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
G3,E39,39,E,2,E39-2,ACTIN,1.379,Amp,UNKNOWN,18.588,18.591,0.004,103841.914,103633.08,295.341,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,13,FALSE,102,
H3,E39,39,E,2,E39-2,ACTIN,1.394,Amp,UNKNOWN,18.594,18.591,0.004,103424.234,103633.08,295.341,36.5667,0.9988,-3.584,90.11565,TRUE,0.21,TRUE,3,13,FALSE,102,
C3,E39,39,E,2,E39-2,BQCV,1.303,Amp,UNKNOWN,25.904,25.811,0.131,385.972,411.49,36.088,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,21,FALSE,102,
D3,E39,39,E,2,E39-2,BQCV,1.314,Amp,UNKNOWN,25.718,25.811,0.131,437.007,411.49,36.088,34.8074,0.9981,-3.4422,95.21442,TRUE,0.111,TRUE,3,21,FALSE,102,
A3,E39,39,E,2,E39-2,DWV,0.93,No Amp,UNKNOWN,39.3,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,34,TRUE,102,
B3,E39,39,E,2,E39-2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.122,TRUE,3,39,TRUE,102,
E3,E39,39,E,2,E39-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
F3,E39,39,E,2,E39-2,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.195,TRUE,3,39,TRUE,102,
G1,E39,39,E,3,E39-3,ACTIN,1.389,Amp,UNKNOWN,17.474,17.499,0.035,212471.31,209128.86,4726.945,36.5667,0.9988,-3.584,90.11565,TRUE,0.206,TRUE,3,12,FALSE,105,
H1,E39,39,E,3,E39-3,ACTIN,1.4,Amp,UNKNOWN,17.523,17.499,0.035,205786.4,209128.86,4726.945,36.5667,0.9988,-3.584,90.11565,TRUE,0.206,TRUE,3,12,FALSE,105,
C1,E39,39,E,3,E39-3,BQCV,1.319,Amp,UNKNOWN,13.221,13.293,0.102,1866447.2,1780575.1,121441.484,34.8074,0.9981,-3.4422,95.21442,TRUE,0.116,TRUE,3,9,FALSE,105,
D1,E39,39,E,3,E39-3,BQCV,1.306,Amp,UNKNOWN,13.366,13.293,0.102,1694703.1,1780575.1,121441.484,34.8074,0.9981,-3.4422,95.21442,TRUE,0.116,TRUE,3,9,FALSE,105,
