well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
F9,No Sample,BQCV,1.369,Amp,UNKNOWN,17.599,20.874,9.812,99829.09,8019730,1.60E+07,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,13,FALSE,24
F10,No Sample,BQCV,1.362,Amp,UNKNOWN,25.194,20.874,9.812,620.538,8019730,1.60E+07,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,21,FALSE,24
F11,No Sample,BQCV,1.341,Amp,UNKNOWN,31.728,20.874,9.812,7.847,8019730,1.60E+07,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,27,FALSE,24
F12,No Sample,BQCV,0,No Amp,UNKNOWN,Undetermined,20.874,9.812,2.53E+10,8019730,1.60E+07,34.8074,0.9981,-3.4422,95.21442,TRUE,0.102,TRUE,3,39,FALSE,24
G9,No Sample,ACTIN,1.477,Amp,UNKNOWN,13.055,19.837,7.003,3632399.8,1231319.5,2079617.6,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,7,FALSE,24
G10,No Sample,ACTIN,1.462,Amp,UNKNOWN,19.413,19.837,7.003,61104.113,1231319.5,2079617.6,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,14,FALSE,24
G11,No Sample,ACTIN,1.468,Amp,UNKNOWN,27.042,19.837,7.003,454.621,1231319.5,2079617.6,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,21,FALSE,24
G12,No Sample,ACTIN,0,No Amp,UNKNOWN,Undetermined,19.837,7.003,3.03E+10,1231319.5,2079617.6,36.5667,0.9988,-3.584,90.11565,TRUE,0.282,TRUE,3,39,FALSE,24
A1,47,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A2,48,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A3,49,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A4,50,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A5,51,DWV,1.339,Amp,UNKNOWN,33.795,33.795,NA,2.52,2.52,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,29,FALSE,28
A6,52,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A7,53,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A8,54,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A9,55,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A10,56,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A11,57,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
A12,58,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
B1,59,DWV,1.198,Amp,UNKNOWN,32.054,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,27,TRUE,28
B2,60,DWV,0.995,Inconclusive,UNKNOWN,39.025,39.025,NA,0.085,0.085,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,34,FALSE,28
B3,61,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
B4,62,DWV,1.149,Inconclusive,UNKNOWN,37.577,37.577,NA,0.218,0.218,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,32,FALSE,28
B5,63,DWV,1.265,Amp,UNKNOWN,35.975,35.975,NA,0.614,0.614,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,31,FALSE,28
B6,64,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,TRUE,28
B7,65,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
B8,No Sample,DWV,1.365,Amp,UNKNOWN,19.919,26.854,7.029,20085.127,6780.453,11522.872,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,15,FALSE,28
B9,No Sample,DWV,1.362,Amp,UNKNOWN,26.67,26.854,7.029,253.989,6780.453,11522.872,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,22,FALSE,28
B10,No Sample,DWV,1.352,Amp,UNKNOWN,33.974,26.854,7.029,2.245,6780.453,11522.872,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,29,FALSE,28
B11,No Sample,DWV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.124,TRUE,3,39,FALSE,28
C1,47,BQCV,1.297,Amp,UNKNOWN,30.477,30.477,NA,18.111,18.111,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,26,FALSE,28
C2,48,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
C3,49,BQCV,1.317,Amp,UNKNOWN,34.385,34.385,NA,1.327,1.327,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,29,FALSE,28
C4,50,BQCV,1.319,Amp,UNKNOWN,31.941,31.941,NA,6.801,6.801,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,27,FALSE,28
C5,51,BQCV,1.35,Amp,UNKNOWN,31.593,31.593,NA,8.585,8.585,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,27,FALSE,28
C6,52,BQCV,1.321,Amp,UNKNOWN,27.472,27.472,NA,135.177,135.177,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,23,FALSE,28
C7,53,BQCV,1.309,Amp,UNKNOWN,26.192,26.192,NA,318.317,318.317,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,21,FALSE,28
C8,54,BQCV,1.329,Amp,UNKNOWN,29.163,29.163,NA,43.625,43.625,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,24,FALSE,28
C9,55,BQCV,1.293,Amp,UNKNOWN,27.759,27.759,NA,111.581,111.581,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,23,FALSE,28
C10,56,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
C11,57,BQCV,1.332,Amp,UNKNOWN,26.098,26.098,NA,339.016,339.016,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,21,FALSE,28
C12,58,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
D1,59,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
D2,60,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
D3,61,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
D4,62,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,2.53E+10,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
D5,63,BQCV,1.331,Amp,UNKNOWN,24.935,24.935,NA,737.754,737.754,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,20,FALSE,28
D6,64,BQCV,1.338,Amp,UNKNOWN,30.777,30.777,NA,14.821,14.821,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,26,FALSE,28
D7,65,BQCV,1.331,Amp,UNKNOWN,29.921,29.921,NA,26.273,26.273,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,25,FALSE,28
D8,No Sample,BQCV,1.366,Amp,UNKNOWN,23.362,27.48,5.824,2113.872,1061.214,1488.683,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,19,FALSE,28
D9,No Sample,BQCV,1.35,Amp,UNKNOWN,31.598,27.48,5.824,8.555,1061.214,1488.683,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,27,FALSE,28
D10,No Sample,BQCV,0,No Amp,UNKNOWN,Undetermined,27.48,5.824,2.53E+10,1061.214,1488.683,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
D11,No Sample,BQCV,0,No Amp,NTC,Undetermined,NA,NA,NA,NA,NA,34.8074,0.9981,-3.4422,95.21442,TRUE,0.124,TRUE,3,39,FALSE,28
E1,47,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E2,48,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E3,49,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E4,50,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E5,51,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E6,52,IAPV,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.53E+10,NA,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,28
E7,53,IAPV,1.025,Inconclusive,UNKNOWN,36.384,36.384,NA,1.272,1.272,NA,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,33,FALSE,28
